model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GLM_1_AutoML_1_20250130_213515,47.53163588195315,2259.256409614576,22.545312742911324,0.2304608663104436,2259.256409614576
GBM_2_AutoML_1_20250130_213515,48.247084837830045,2327.78119534877,24.631978485321657,0.2290589787961082,2327.78119534877
DRF_1_AutoML_1_20250130_213515,48.311817817008176,2334.0317407837883,24.496186825099745,0.2297485073272913,2334.0317407837883
GBM_4_AutoML_1_20250130_213515,48.32510695490422,2335.3159622029325,23.49934518775701,0.229574909165742,2335.3159622029325
GBM_3_AutoML_1_20250130_213515,48.3544303561597,2338.150935068699,24.75530078619754,0.2289104694962505,2338.150935068699
GBM_5_AutoML_1_20250130_213515,48.3548563787303,2338.192135407634,23.83035990187108,0.2292401173769472,2338.192135407634
DeepLearning_1_AutoML_1_20250130_213515,48.73377467449782,2374.9807940247256,22.79704085296207,0.2310747314558833,2374.9807940247256
XRT_1_AutoML_1_20250130_213515,48.80655916553168,2382.0802175785448,24.01471113506117,0.2300028138771538,2382.0802175785448
GBM_grid_1_AutoML_1_20250130_213515_model_1,49.04724458351201,2405.6322012348483,26.428067403721528,0.2288465486302422,2405.6322012348483
GBM_1_AutoML_1_20250130_213515,102.11746240759992,10427.97612856758,74.6986036024662,0.2878989946492861,10427.97612856758
