model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20250129_232115,0.0568642431962582,0.0032335421542831,0.0328757519251165,0.0414223874751266,0.0032335421542831
GBM_2_AutoML_1_20250129_232115,0.0574373177178042,0.0032990454666159,0.0341350001013871,0.0419873611333217,0.0032990454666159
GBM_3_AutoML_1_20250129_232115,0.0577792019609347,0.0033384361792424,0.0337672043539873,0.0420836085710584,0.0033384361792424
DeepLearning_1_AutoML_1_20250129_232115,0.0604096677515829,0.0036493279578566,0.0346261552278623,0.0429972924733144,0.0036493279578566
GLM_1_AutoML_1_20250129_232115,0.0605810152051797,0.0036700594032902,0.0313641889424834,0.0420051205741573,0.0036700594032902
XRT_1_AutoML_1_20250129_232115,0.0614995952300063,0.0037822002134546,0.0341836387136242,0.0439151032272503,0.0037822002134546
GBM_5_AutoML_1_20250129_232115,0.0615571826046886,0.0037892867302269,0.034374060965483,0.0440336095381672,0.0037892867302269
DRF_1_AutoML_1_20250129_232115,0.0618864463233317,0.0038299322385306,0.0346970068406836,0.0441582411336538,0.0038299322385306
GBM_grid_1_AutoML_1_20250129_232115_model_1,0.062192030506915,0.003867848658573,0.0367150632654333,0.0450588042153731,0.003867848658573
GBM_1_AutoML_1_20250129_232115,0.124895182397342,0.0155988065860653,0.0804027610114973,0.0870326523713512,0.0155988065860653
