model_id,rmse,mse,mae,rmsle,mean_residual_deviance
XRT_1_AutoML_1_20250129_232647,0.0281321498567357,0.0007914178555618347,0.0151580466872739,0.0226518742454965,0.0007914178555618347
DRF_1_AutoML_1_20250129_232647,0.0282133646436439,0.0007959939445152181,0.0155066722634313,0.0228780962220768,0.0007959939445152181
GLM_1_AutoML_1_20250129_232647,0.0284783392059562,0.0008110158039295037,0.0147697029204975,0.0224370865724591,0.0008110158039295037
GBM_5_AutoML_1_20250129_232647,0.0288437523457332,0.0008319620493819949,0.0153201085366136,0.0230166895963813,0.0008319620493819949
DeepLearning_1_AutoML_1_20250129_232647,0.0314989091258583,0.00099218127611908,0.0196877161407958,0.0249536486218856,0.00099218127611908
GBM_2_AutoML_1_20250129_232647,0.0319717952285167,0.0010221956901342,0.0172438055606223,0.0244010186273011,0.0010221956901342
GBM_3_AutoML_1_20250129_232647,0.0327807597994721,0.0010745782130306,0.017596297982026,0.0249180464748795,0.0010745782130306
GBM_4_AutoML_1_20250129_232647,0.0327873514925416,0.0010750104178954,0.0172320443222064,0.0248926478179999,0.0010750104178954
GBM_grid_1_AutoML_1_20250129_232647_model_1,0.0343275865351832,0.0011783831973304,0.0198671608529909,0.0263563632477149,0.0011783831973304
GBM_1_AutoML_1_20250129_232647,0.0808114847246991,0.0065304960634102,0.0484403372730783,0.0584917969145633,0.0065304960634102
