model_id,rmse,mse,mae,rmsle,mean_residual_deviance
XRT_1_AutoML_1_20250130_213555,90.4057651140836,8173.202365862857,43.56280398540926,0.3809292039234342,8173.202365862857
GBM_3_AutoML_1_20250130_213555,92.14899026039794,8491.436406010915,44.03187759726016,0.3853087822571257,8491.436406010915
GBM_5_AutoML_1_20250130_213555,93.98685782303954,8833.52944344825,46.51499619135727,0.3927304347532865,8833.52944344825
GBM_4_AutoML_1_20250130_213555,95.32852300491832,9087.52729829924,43.13997856821721,0.3864692299633189,9087.52729829924
GBM_grid_1_AutoML_1_20250130_213555_model_1,96.51946672829092,9316.00745751366,45.01290292737964,0.3879847165688682,9316.00745751366
DRF_1_AutoML_1_20250130_213555,100.17690384340104,10035.412063650016,46.91094692428608,0.3891306766745997,10035.412063650016
GBM_2_AutoML_1_20250130_213555,100.6275607418342,10125.905980851532,45.045949304249575,0.3896308151409124,10125.905980851532
DeepLearning_1_AutoML_1_20250130_213555,114.03155124428092,13003.194679177064,62.25710717447306,0.4186800511906514,13003.194679177064
GLM_1_AutoML_1_20250130_213555,136.2903243533544,18575.052512342547,65.13726308734626,0.4081213575043632,18575.052512342547
GBM_1_AutoML_1_20250130_213555,661.756004104558,437921.0089684317,454.91803518960313,0.8181677648673855,437921.0089684317
