model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GLM_1_AutoML_1_20250130_213830,0.6652946350005796,0.4426169513605544,0.1327949387403087,0.1183552976086609,0.4426169513605544
GBM_5_AutoML_1_20250130_213830,0.6843122510897263,0.4682832569914886,0.175106826604667,0.1268384101822638,0.4682832569914886
GBM_4_AutoML_1_20250130_213830,0.687794918940121,0.4730618505198476,0.181171375096958,0.126925439060112,0.4730618505198476
GBM_3_AutoML_1_20250130_213830,0.737140073972351,0.5433754886559632,0.2009918671657158,0.1404843754843724,0.5433754886559632
DeepLearning_1_AutoML_1_20250130_213830,0.7378765407237237,0.544461789350409,0.2942511461978488,0.1643848841384958,0.544461789350409
GBM_2_AutoML_1_20250130_213830,0.7487745883306308,0.5606633841297056,0.2059358371196755,0.1422250277186839,0.5606633841297056
XRT_1_AutoML_1_20250130_213830,0.7950941558389341,0.6321747166492272,0.3990642253494351,0.1556492973108928,0.6321747166492272
DRF_1_AutoML_1_20250130_213830,0.815959920463957,0.665790591803547,0.2023078857154997,0.1561549433708914,0.665790591803547
GBM_grid_1_AutoML_1_20250130_213830_model_1,0.8671826368348714,0.7520057256278805,0.2949910466430394,0.1735406832219928,0.7520057256278805
GBM_1_AutoML_1_20250130_213830,1.7754059066646222,3.152066133419629,1.4310336954985887,0.3075729110566158,3.152066133419629
