model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DRF_1_AutoML_1_20250130_213719,2.3548466611417225,5.545302797490318,1.3555671010499724,0.2777623646133099,5.545302797490318
GLM_1_AutoML_1_20250130_213719,2.4746682151533097,6.123982775090068,1.2497079302211174,0.2681771069081102,6.123982775090068
GBM_5_AutoML_1_20250130_213719,2.5751463038583906,6.631378486275531,1.381083183082849,0.2706667816274113,6.631378486275531
XRT_1_AutoML_1_20250130_213719,2.683793075035767,7.202745269609938,1.4423773644810407,0.2890776185019224,7.202745269609938
DeepLearning_1_AutoML_1_20250130_213719,2.857625455740701,8.166023245297248,1.5719341063849286,0.3035422231248472,8.166023245297248
GBM_2_AutoML_1_20250130_213719,3.2024143226117725,10.255457493669018,1.7643543797521832,0.2829801836735639,10.255457493669018
GBM_4_AutoML_1_20250130_213719,3.257830054205782,10.613456662086447,1.7994781601299563,0.2836336178071568,10.613456662086447
GBM_3_AutoML_1_20250130_213719,3.2624812589049523,10.643783964706042,1.8028999453325536,0.2860861827677298,10.643783964706042
GBM_grid_1_AutoML_1_20250130_213719_model_1,3.52414105121189,12.419570148836844,1.9113815529783864,0.3003806819207195,12.419570148836844
GBM_1_AutoML_1_20250130_213719,8.9446957992436,80.0075829410061,5.811944331951648,0.542500336342985,80.0075829410061
