model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GLM_1_AutoML_1_20250129_232913,0.0253565185324041,0.0006429530320841571,0.0117199063349661,0.020799879027439,0.0006429530320841571
XRT_1_AutoML_1_20250129_232913,0.0265556993375253,0.0007052051673050424,0.0132519219768814,0.0218619235966311,0.0007052051673050424
DRF_1_AutoML_1_20250129_232913,0.027423541361141,0.0007520506207862153,0.0134264060898793,0.0222922547509983,0.0007520506207862153
GBM_4_AutoML_1_20250129_232913,0.0284211696663271,0.0008077628852021566,0.013260164476765,0.0219617612067054,0.0008077628852021566
DeepLearning_1_AutoML_1_20250129_232913,0.0290097920048589,0.0008415680321651776,0.0169695775220867,0.0238838630095392,0.0008415680321651776
GBM_2_AutoML_1_20250129_232913,0.0300891265699753,0.000905355537743995,0.0144204292032737,0.0231684714266019,0.000905355537743995
GBM_3_AutoML_1_20250129_232913,0.0301961657997609,0.0009118084290066524,0.0148489299437447,0.0232757745930854,0.0009118084290066524
GBM_5_AutoML_1_20250129_232913,0.0302806011816917,0.0009169148079246744,0.0144188058507257,0.0245422197142654,0.0009169148079246744
GBM_grid_1_AutoML_1_20250129_232913_model_1,0.0315460755114608,0.000995154880174793,0.0167558200848864,0.0245046778961078,0.000995154880174793
GBM_1_AutoML_1_20250129_232913,0.0912504858721681,0.0083266511719067,0.0614847684114133,0.0672070024416115,0.0083266511719067
