model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20250130_213942,21.122398639542837,446.15572428776096,4.798725768435514,0.3217091673090235,446.15572428776096
GBM_5_AutoML_1_20250130_213942,21.30784606812255,454.0243040628056,3.83850933996725,0.2645612549852237,454.0243040628056
GLM_1_AutoML_1_20250130_213942,22.544206411789027,508.2412427373494,4.46658199778637,0.339380619084652,508.2412427373494
DRF_1_AutoML_1_20250130_213942,22.64645231387969,512.8618024048268,4.48054375704966,0.3818852231904198,512.8618024048268
GBM_3_AutoML_1_20250130_213942,22.998595243914732,528.9353831934175,5.311247654299646,0.3949530601765814,528.9353831934175
XRT_1_AutoML_1_20250130_213942,23.04170294512182,530.9200746112356,4.806740095740871,0.3643246353120296,530.9200746112356
DeepLearning_1_AutoML_1_20250130_213942,23.52455573678032,553.4047226128838,9.21816381661336,,553.4047226128838
GBM_2_AutoML_1_20250130_213942,24.004067304874567,576.1952471769482,5.619073267340066,0.3983493074655285,576.1952471769482
GBM_grid_1_AutoML_1_20250130_213942_model_1,24.86913025891945,618.473639835103,6.954363084186151,,618.473639835103
GBM_1_AutoML_1_20250130_213942,45.24296649340062,2046.926017122972,32.44079407377984,0.6314961441587573,2046.926017122972
