model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20250130_212739,71.45052385709512,5105.177359453319,30.517056657273173,0.2325796522258736,5105.177359453319
DRF_1_AutoML_1_20250130_212739,72.10499048332308,5199.129652600112,28.86383027428075,0.2301886688156338,5199.129652600112
GLM_1_AutoML_1_20250130_212739,72.85789402564436,5308.272721852024,27.055117393397776,0.2332029882809183,5308.272721852024
GBM_3_AutoML_1_20250130_212739,74.63593365575494,5570.522592666252,31.68355196344871,0.2333268885603015,5570.522592666252
XRT_1_AutoML_1_20250130_212739,74.83464877466317,5600.224657227195,28.90353391435411,0.2312707266906199,5600.224657227195
GBM_2_AutoML_1_20250130_212739,75.1665315361486,5650.007463174821,33.303598649961955,0.2344264003123611,5650.007463174821
GBM_grid_1_AutoML_1_20250130_212739_model_1,76.164776284788,5801.073146511805,35.3820793818483,0.232122651650898,5801.073146511805
GBM_5_AutoML_1_20250130_212739,76.50944519553926,5853.695204129225,30.212532384669185,0.2341093806543578,5853.695204129225
DeepLearning_1_AutoML_1_20250130_212739,84.46743531526383,7134.747628738278,45.72606492172701,0.2475126341272453,7134.747628738278
GBM_1_AutoML_1_20250130_212739,144.28305345906884,20817.599515472517,97.25748426430336,0.3115876690602285,20817.599515472517
