model_id,rmse,mse,mae,rmsle,mean_residual_deviance
XRT_1_AutoML_1_20250130_212900,105.11917439114944,11050.040824676887,57.35279201853345,0.365956919051467,11050.040824676887
DRF_1_AutoML_1_20250130_212900,108.11532803245724,11688.924155565834,58.358692700235466,0.3683128662745153,11688.924155565834
GBM_5_AutoML_1_20250130_212900,112.19925827874977,12588.673558301594,56.87985328425636,0.369582304413968,12588.673558301594
GBM_2_AutoML_1_20250130_212900,134.823922644989,18177.49011738197,71.07233251610451,0.365009805880813,18177.49011738197
GBM_4_AutoML_1_20250130_212900,136.4136765544869,18608.69115111217,71.17759593817024,0.3643792310206679,18608.69115111217
GBM_grid_1_AutoML_1_20250130_212900_model_1,138.66375781310686,19227.63773085195,76.98868414250602,0.3679314478738735,19227.63773085195
GBM_3_AutoML_1_20250130_212900,140.52860772371054,19748.289588764517,72.62396705367162,0.3652380292056719,19748.289588764517
GLM_1_AutoML_1_20250130_212900,150.3755642841109,22612.810333764777,89.66053448907604,0.3944691926804953,22612.810333764777
DeepLearning_1_AutoML_1_20250130_212900,151.07790764082458,22824.534177129524,97.673311981819,0.3783767316543021,22824.534177129524
GBM_1_AutoML_1_20250130_212900,825.0119415130133,680644.7036390718,528.6109808271982,0.5829916701916515,680644.7036390718
